employee_id,first_name,last_name,department,salary,join_date
8625,Idella,Conn,Finance,220.76,2024-06-08
6309,Rene,Conroy,Legal,437.21,2024-01-21
3401,Elmer,Langosh,Engineering,973.51,2023-12-16
8762,Manuel,Goldner,Finance,348.72,2024-04-23
5939,Kendra,Keeling,Sales,599.30,2024-09-17
7899,Felicity,Jones,Legal,338.68,2024-02-13
3586,Lauretta,Terry,Engineering,139.23,2024-08-13
2580,Leonor,Yundt,Marketing,471.70,2024-02-12
9416,Ernestina,Ankunding,Engineering,252.15,2023-10-05
3581,Kiley,Schowalter,Legal,721.54,2024-06-02
8315,Darien,Towne,Finance,424.54,2024-08-15
2876,Cloyd,Halvorson,Finance,312.56,2023-09-27
9269,Everette,Tromp,Engineering,116.25,2024-06-22
6526,Jamaal,Schroeder,Legal,111.67,2024-07-06
6180,Marielle,Hartmann-Shanahan,Sales,327.67,2024-04-25
9145,Dedric,Rath,Marketing,411.50,2024-04-30
7545,Derek,Yost,Marketing,962.89,2024-02-10
2039,Alysson,McKenzie,Finance,449.44,2024-06-27
7135,Harrison,Jacobs,Sales,555.43,2023-11-03
5167,Bertram,Witting,Legal,823.50,2024-03-30
2279,Dameon,Lind,HR,554.95,2024-03-05
1864,Lily,Williamson,Sales,480.42,2023-09-20
4142,Mavis,Sipes,HR,535.50,2024-07-09
4238,Fannie,Robel,Legal,181.23,2024-07-01
7427,Gregg,Franecki,Marketing,421.93,2023-10-20
1731,Maci,Kohler,Finance,472.59,2023-12-05
6719,Waino,Powlowski,Marketing,558.21,2024-06-20
6643,Meta,Smitham,Engineering,845.05,2024-07-19
7703,Keara,Tillman,Marketing,966.63,2024-03-06
8490,Freida,Halvorson,Marketing,827.99,2023-12-16
1452,Alexandro,Fadel,Sales,468.06,2024-09-04
3292,Anastacio,Lowe,Sales,866.62,2023-12-12
8767,Zoie,Wilkinson-Balistreri,Legal,103.84,2024-06-14
4784,Joannie,Crooks,Finance,902.74,2023-10-24
9024,Rudolph,Emard,Sales,43.36,2023-12-31
2098,Colby,Maggio,Legal,488.26,2023-11-09
3699,Maye,Harris,HR,11.19,2023-09-30
3053,Kale,Sanford,Sales,586.98,2024-04-26
1483,Glennie,Reichert,Engineering,766.45,2023-11-28
4704,Jude,Feeney,Sales,711.76,2024-07-30
6963,Cierra,Ernser,Sales,484.89,2023-10-26
5143,Bill,O'Conner,Legal,158.54,2024-09-07
1484,Jedediah,Harber,Engineering,842.35,2024-06-18
2216,Wendell,Koepp,Legal,741.66,2023-12-08
7056,Mikayla,Cormier,HR,685.77,2024-07-27
8079,Eliane,Miller,Finance,274.16,2023-10-14
2737,Myles,Hills,Marketing,382.07,2024-07-16
5427,Saul,Hammes,Engineering,623.33,2024-07-18
9422,Mariah,Welch,Sales,212.31,2024-07-27
4562,Gwendolyn,Mayer,Engineering,832.33,2024-04-15
4903,Eloy,Goyette,Finance,933.82,2024-05-06
4187,Daniella,Kutch,Sales,835.08,2024-08-19
6545,Mozelle,Thompson,Engineering,357.13,2024-03-21
5331,Janis,Pfeffer,Sales,732.67,2024-08-15
4400,Geraldine,Mante,Sales,907.70,2024-01-19
6657,Felicita,Goldner,Sales,727.94,2024-06-08
5889,Kiarra,Kessler,Engineering,334.07,2024-07-10
5861,Wanda,Grimes,HR,145.99,2024-02-20
6751,Lizeth,O'Conner,HR,43.97,2024-07-24
6857,Earnestine,Nikolaus-Green,Sales,906.87,2024-02-29
5558,Madisyn,Kreiger,Legal,814.85,2024-01-13
2389,Hortense,Howell,Engineering,466.60,2023-11-12
9960,Emerald,Boyer,Legal,876.21,2023-11-04
8071,Krista,Hessel,Marketing,83.74,2024-05-14
7389,Georgette,Nader,Legal,14.23,2024-06-03
2513,Ila,Jones,Sales,721.71,2024-08-23
9174,Eve,Emard,Sales,667.89,2024-05-28
8553,Cloyd,Daniel,HR,55.41,2024-04-12
4581,Kaylee,Labadie,Sales,937.91,2024-03-27
9276,Yesenia,Block,Marketing,821.32,2023-09-24
8555,Pansy,Gottlieb,HR,910.08,2023-12-05
2529,Marlene,Pollich,Legal,865.07,2024-02-08
9255,Vivian,Murphy-Wiza,Finance,636.09,2024-06-23
9175,Marcella,Marks,Marketing,814.46,2024-01-09
6924,Carmella,Nienow,Legal,433.21,2023-11-24
5762,Isidro,Little,HR,547.97,2024-09-12
8227,Gustave,Corwin-Veum,Engineering,709.28,2024-05-09
4777,Gerald,Cummerata,Legal,559.37,2024-02-12
3521,Constance,Bruen-Johns,Marketing,881.68,2024-06-03
6147,Orin,Wisozk,HR,973.34,2023-11-09
1419,Nathen,Crooks,Sales,478.00,2024-06-06
9002,Madge,Mills,Sales,553.73,2024-04-25
9233,Sabina,Wunsch,Legal,41.45,2024-06-07
9321,Sienna,Ullrich,Finance,529.64,2024-07-21
5478,Isom,Lesch,Legal,872.40,2024-01-19
7631,Kayla,Koelpin,Sales,348.45,2024-01-22
2018,Mathilde,Quitzon,HR,98.26,2024-05-10
1182,Willy,Weber,Engineering,551.31,2024-03-01
1061,Jesse,Crooks,Finance,755.68,2024-02-22
8354,Emile,Romaguera,Legal,246.75,2024-07-03
6722,Phyllis,Pollich,Legal,154.11,2024-07-25
8914,Kelsi,Konopelski,Marketing,35.65,2024-01-21
3343,Anika,Cassin,Engineering,898.53,2024-08-05
6193,Nicholaus,Oberbrunner,Finance,247.49,2023-09-19
2290,Gus,Zemlak,Marketing,83.61,2024-01-21
8014,Jasen,Gibson,Legal,427.93,2024-04-21
5009,Joany,Hahn,HR,614.49,2023-10-15
4488,Leopold,Willms,Marketing,538.63,2024-06-12
3906,Keely,Wolf,Marketing,388.13,2024-03-08
3373,Alden,Beer,Legal,498.38,2024-05-10
7816,Quincy,Russel,Finance,428.27,2023-11-10
7539,Stacy,Swaniawski,Legal,822.85,2024-08-22
3732,Nelson,Konopelski,HR,9.41,2023-12-21
9461,Cindy,Douglas,Legal,648.69,2023-12-10
7832,Melissa,Considine,Legal,533.00,2023-12-10
5254,Monica,Gleichner,HR,439.81,2024-01-12
3621,Westley,Lebsack,Engineering,634.78,2023-12-06
4167,Madison,Bartoletti,HR,756.03,2024-07-16
2983,Jeff,Raynor,Sales,251.33,2024-01-01
2826,Alanna,Wuckert,Finance,323.22,2024-01-27
9010,Hilma,Krajcik,Marketing,915.91,2024-05-05
5650,Soledad,Schmidt,HR,145.69,2023-12-30
9076,Fredy,Langworth,Sales,730.91,2023-11-29
3356,Brandon,Kovacek,Legal,346.05,2024-07-25
9237,Shirley,Dickinson,Legal,862.97,2024-07-24
1183,Emmanuel,Toy,Finance,182.85,2023-10-04
5351,Tabitha,Altenwerth,Legal,892.43,2024-02-23
8097,Norwood,Bartell,Sales,579.89,2024-06-28
3192,Trevor,Robel,Sales,657.00,2024-03-23
9918,Rigoberto,Ledner,HR,281.39,2023-10-08
5420,Bettie,Ruecker,Legal,992.65,2024-04-29
8117,Rollin,Abshire,Marketing,188.17,2024-05-28
6159,Lesly,Franey,HR,252.91,2024-08-25
4868,Cora,Nader,Engineering,651.49,2024-02-12
